Edmonton,,,,,,,,,,,,,,,,Toronto,,,,,,,,,,,,,,,,Both,,,,,,,,,,,,,,,
Age 60+ Male,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,O3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm All,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Female,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Male,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold All,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold Female,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 0-10 All,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
Age 0-10 Female,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Age 0-10 Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Age 11-60 All,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Age 11-60 Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 11-60 Male,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Age 60+All,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0
Age 60+ Female,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 60+ Male,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0
All,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,O3H8,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,O3H8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Female,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,-1,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Male,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0
Warm All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Female,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Warm Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold All,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,1,1,1,1,0,0,0,1,0,0,0,0,0,-1,-1,,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Cold Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,1,0,0,0,0,0,0,-1,,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0
Cold Male,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,1,0,2,2,2,0,0,0,0,0,0,2,2
Age 0-10 All,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,,0,0,0,0,2,2,2,1,0,1,1,0,0,2,2
Age 0-10 Female,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0
Age 0-10 Male,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Age 11-60 All,0,-1,-1,0,0,-1,-1,-1,0,-1,0,0,0,1,0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0
Age 11-60 Female,0,-1,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Age 11-60 Male,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,3,2,2,2,2,2,2,2,0,0,2,2,2
Age 60+All,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,,0,2,2,2,2,2,2,2,0,2,0,0,2,2,2
Age 60+ Female,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,2,2,2,2,2,2,2,2,0,0,0,2,2,2
Age 60+ Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PM2.5,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,PM2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,,0,0,2,2,2,2,2,0,0,0,0,0,0,2,2
Warm All,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2
Warm Female,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,,0,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,,0,0,2,2,0,2,2,0,0,0,0,0,0,2,0
Warm Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cold All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold Female,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cold Male,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0
Age 0-10 All,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,,3,2,2,2,2,2,2,2,2,0,0,2,2,0,0
Age 0-10 Female,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,,1,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,,3,2,2,2,2,2,2,2,2,2,0,0,2,0,0
Age 0-10 Male,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,,2,2,2,2,2,2,2,0,2,2,0,0,0,0,0
Age 11-60 All,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,,2,2,3,2,2,2,2,2,2,0,0,2,2,0,0
Age 11-60 Female,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
Age 11-60 Male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,,2,3,3,2,2,2,2,2,2,2,2,2,2,2,0
Age 60+All,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
Age 60+ Female,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0
Age 60+ Male,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0
All,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,SO2,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,SO2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0
Female,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Male,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0
Warm All,1,0,-1,0,-1,-1,-1,0,0,0,0,0,-1,0,0,,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Female,1,0,0,0,0,-1,0,0,1,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2
Warm Male,1,0,0,0,0,-1,0,0,1,1,0,0,0,1,1,,1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,-1,,3,0,0,0,0,0,0,0,2,2,0,0,0,2,2
Cold All,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold Female,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cold Male,1,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,0,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 0-10 All,1,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 0-10 Female,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Age 0-10 Male,1,1,0,1,1,0,-1,-1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2
Age 11-60 All,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 11-60 Female,1,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Age 11-60 Male,1,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,0,0,,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 60+All,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 60+ Female,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2
Age 60+ Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
